story_id	example_id	conclusion	premises	premises-FOL	label	source
406	1131	Rina is a person who jokes about being addicted to caffeine or unaware that caffeine is a drug.	['All people who regularly drink coffee are dependent on caffeine.', 'People either regularly drink coffee or joke about being addicted to caffeine.', 'No one who jokes about being addicted to caffeine is unaware that caffeine is a drug.', 'Rina is either a student and unaware that caffeine is a drug, or neither a student nor unaware that caffeine is a drug.', 'If Rina is not a person dependent on caffeine and a student, then Rina is either a person dependent on caffeine and a student, or neither a person dependent on caffeine nor a student. ']	['∀x (Drinks(x) → Dependent(x))', '∀x (Drinks(x) ⊕ Jokes(x))', '∀x (Jokes(x) → ¬Unaware(x))', '(Student(rina) ∧ Unaware(rina)) ⊕ ¬(Student(rina) ∨ Unaware(rina))', '¬(Dependent(rina) ∧ Student(rina)) → (Dependent(rina) ∧ Student(rina)) ⊕ ¬(Dependent(rina) ∨ Student(rina))']	True	hyb
406	1132	Rina is either a person who jokes about being addicted to caffeine or is unaware that caffeine is a drug.	['All people who regularly drink coffee are dependent on caffeine.', 'People either regularly drink coffee or joke about being addicted to caffeine.', 'No one who jokes about being addicted to caffeine is unaware that caffeine is a drug.', 'Rina is either a student and unaware that caffeine is a drug, or neither a student nor unaware that caffeine is a drug.', 'If Rina is not a person dependent on caffeine and a student, then Rina is either a person dependent on caffeine and a student, or neither a person dependent on caffeine nor a student. ']	['∀x (Drinks(x) → Dependent(x))', '∀x (Drinks(x) ⊕ Jokes(x))', '∀x (Jokes(x) → ¬Unaware(x))', '(Student(rina) ∧ Unaware(rina)) ⊕ ¬(Student(rina) ∨ Unaware(rina))', '¬(Dependent(rina) ∧ Student(rina)) → (Dependent(rina) ∧ Student(rina)) ⊕ ¬(Dependent(rina) ∨ Student(rina))']	True	hyb
406	1133	Rina is either a person who regularly drinks coffee or a person who is unaware that caffeine is a drug.	['All people who regularly drink coffee are dependent on caffeine.', 'People either regularly drink coffee or joke about being addicted to caffeine.', 'No one who jokes about being addicted to caffeine is unaware that caffeine is a drug.', 'Rina is either a student and unaware that caffeine is a drug, or neither a student nor unaware that caffeine is a drug.', 'If Rina is not a person dependent on caffeine and a student, then Rina is either a person dependent on caffeine and a student, or neither a person dependent on caffeine nor a student. ']	['∀x (Drinks(x) → Dependent(x))', '∀x (Drinks(x) ⊕ Jokes(x))', '∀x (Jokes(x) → ¬Unaware(x))', '(Student(rina) ∧ Unaware(rina)) ⊕ ¬(Student(rina) ∨ Unaware(rina))', '¬(Dependent(rina) ∧ Student(rina)) → (Dependent(rina) ∧ Student(rina)) ⊕ ¬(Dependent(rina) ∨ Student(rina))']	False	hyb
406	1134	If Rina is either a person who jokes about being addicted to caffeine and a person who is unaware that caffeine is a drug, or neither a person who jokes about being addicted to caffeine nor a person who is unaware that caffeine is a drug, then Rina jokes about being addicted to caffeine and regularly drinks coffee.	['All people who regularly drink coffee are dependent on caffeine.', 'People either regularly drink coffee or joke about being addicted to caffeine.', 'No one who jokes about being addicted to caffeine is unaware that caffeine is a drug.', 'Rina is either a student and unaware that caffeine is a drug, or neither a student nor unaware that caffeine is a drug.', 'If Rina is not a person dependent on caffeine and a student, then Rina is either a person dependent on caffeine and a student, or neither a person dependent on caffeine nor a student. ']	['∀x (Drinks(x) → Dependent(x))', '∀x (Drinks(x) ⊕ Jokes(x))', '∀x (Jokes(x) → ¬Unaware(x))', '(Student(rina) ∧ Unaware(rina)) ⊕ ¬(Student(rina) ∨ Unaware(rina))', '¬(Dependent(rina) ∧ Student(rina)) → (Dependent(rina) ∧ Student(rina)) ⊕ ¬(Dependent(rina) ∨ Student(rina))']	True	hyb
8	20	Miroslav Venhoda loved music.	['Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.', 'Any choral conductor is a musician.', 'Some musicians love music.', 'Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.']	['Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ Specialize(miroslav, renaissance) ∧ Specialize(miroslav, baroque)', '∀x (ChoralConductor(x) → Musician(x))', '∃x (Musician(x) → Love(x, music))', 'Book(methodOfStudyingGregorianChant) ∧ Author(miroslav, methodOfStudyingGregorianChant) ∧ Publish(methodOfStudyingGregorianChant, year1946)']	Unknown	wiki
8	21	A Czech person wrote a book in 1946.	['Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.', 'Any choral conductor is a musician.', 'Some musicians love music.', 'Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.']	['Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ Specialize(miroslav, renaissance) ∧ Specialize(miroslav, baroque)', '∀x (ChoralConductor(x) → Musician(x))', '∃x (Musician(x) → Love(x, music))', 'Book(methodOfStudyingGregorianChant) ∧ Author(miroslav, methodOfStudyingGregorianChant) ∧ Publish(methodOfStudyingGregorianChant, year1946)']	True	wiki
8	22	No choral conductor specialized in the performance of Renaissance.	['Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.', 'Any choral conductor is a musician.', 'Some musicians love music.', 'Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.']	['Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ Specialize(miroslav, renaissance) ∧ Specialize(miroslav, baroque)', '∀x (ChoralConductor(x) → Musician(x))', '∃x (Musician(x) → Love(x, music))', 'Book(methodOfStudyingGregorianChant) ∧ Author(miroslav, methodOfStudyingGregorianChant) ∧ Publish(methodOfStudyingGregorianChant, year1946)']	False	wiki
463	1341	Sea eel is an eel.	['All eels are fish. ', 'No fish are plants. ', 'A thing is either a plant or animal.', 'Nothing that breathes is paper. ', 'All animals breathe.', 'If a sea eel is either an eel or a plant, then a sea eel is an eel or an animal.']	['∀x  (Eel (x)→  Fish (x))', '∀x  (Fish (x)→ ¬ Plant (x))', '∀x ( Plant (x) ∨  Animal (x))', '∀x  (Breathe (x)→ ¬ Paper (x))', '∀x  (Animal (x)→  Breathe (x))', ' Eel (seaEel) ⊕ Plant (seaEel) → Eel (seaEel) ∨ Animal (seaEel) ']	Unknown	hyb
463	1342	Sea eel is a paper.	['All eels are fish. ', 'No fish are plants. ', 'A thing is either a plant or animal.', 'Nothing that breathes is paper. ', 'All animals breathe.', 'If a sea eel is either an eel or a plant, then a sea eel is an eel or an animal.']	['∀x  (Eel (x)→  Fish (x))', '∀x  (Fish (x)→ ¬ Plant (x))', '∀x ( Plant (x) ∨  Animal (x))', '∀x  (Breathe (x)→ ¬ Paper (x))', '∀x  (Animal (x)→  Breathe (x))', ' Eel (seaEel) ⊕ Plant (seaEel) → Eel (seaEel) ∨ Animal (seaEel) ']	False	hyb
463	1343	Sea eel breathes or is a paper.	['All eels are fish. ', 'No fish are plants. ', 'A thing is either a plant or animal.', 'Nothing that breathes is paper. ', 'All animals breathe.', 'If a sea eel is either an eel or a plant, then a sea eel is an eel or an animal.']	['∀x  (Eel (x)→  Fish (x))', '∀x  (Fish (x)→ ¬ Plant (x))', '∀x ( Plant (x) ∨  Animal (x))', '∀x  (Breathe (x)→ ¬ Paper (x))', '∀x  (Animal (x)→  Breathe (x))', ' Eel (seaEel) ⊕ Plant (seaEel) → Eel (seaEel) ∨ Animal (seaEel) ']	True	hyb
